investment_id,policy_id,investment_type,risk_level,investment_date,amount,fund_manager,initial_nav,units_purchased
INV-300278,POL-448912,Money Market Fund,Low,2025-06-28,7642007,PT Suwarno Aryani,1045.51,6897.8142
INV-436335,POL-430619,Equity Fund,High,2025-06-15,2383610,UD Kusmawati Rahimah,1485.72,2132.1105
INV-652950,POL-060080,Equity Fund,High,2025-06-18,2453002,PD Simbolon Suwarno,1100.54,1767.3367
INV-952821,POL-876201,Balanced Fund,Medium,2024-10-24,1169291,Perum Rahimah Tbk,1364.94,1137.6158
INV-908943,POL-677576,Fixed Income Fund,Low-Medium,2024-10-12,4071646,Perum Saptono Sitompul Tbk,1378.06,3312.0099
INV-986399,POL-592897,Sharia Fund,Medium,2025-07-02,4069138,Perum Rahmawati Samosir Tbk,1057.7,3854.0756
INV-450704,POL-198170,Money Market Fund,Low,2024-06-29,6561027,PD Widodo Widodo,1148.26,5200.3513
INV-689210,POL-279096,Equity Fund,High,2025-05-22,5884758,Perum Fujiati,1430.14,5702.2246
INV-154581,POL-622437,Equity Fund,High,2024-11-27,8217482,PD Pradipta (Persero) Tbk,1041.69,6832.2615
INV-427385,POL-162518,Sharia Fund,Medium,2025-02-18,7992476,UD Permata Tbk,1185.09,6740.1479
INV-399890,POL-779362,Sharia Fund,Medium,2024-06-10,4728518,PD Suryono Wibowo,1032.89,3989.1973
INV-133767,POL-830215,Fixed Income Fund,Low-Medium,2025-06-16,2292640,PD Prasetyo Hassanah (Persero) Tbk,1064.12,1587.2907
INV-090964,POL-579459,Fixed Income Fund,Low-Medium,2025-02-21,3594442,UD Mardhiyah Prastuti,1425.5,2686.3047
INV-542386,POL-491757,Money Market Fund,Low,2025-06-07,3411418,UD Napitupulu Nashiruddin,1080.79,3312.9236
INV-395008,POL-349018,Fixed Income Fund,Low-Medium,2025-02-27,11682991,Perum Sihombing Tbk,1498.5,7909.4063
INV-834477,POL-396594,Equity Fund,High,2023-05-19,4274216,UD Maryati (Persero) Tbk,1342.62,3510.6799
INV-946035,POL-005722,Money Market Fund,Low,2024-11-04,501649,UD Usada,1301.34,383.7717
INV-536282,POL-367012,Fixed Income Fund,Low-Medium,2024-04-29,3006418,PT Ramadan (Persero) Tbk,1016.04,2711.0152
INV-850328,POL-979462,Sharia Fund,Medium,2023-12-19,4627269,Perum Maulana Santoso,1356.7,4580.3369
INV-935732,POL-122089,Equity Fund,High,2025-04-23,2086504,UD Melani Kusmawati (Persero) Tbk,1073.6,1821.0039
INV-985607,POL-966733,Money Market Fund,Low,2024-02-26,2154018,PT Widiastuti Latupono Tbk,1359.59,1470.5288
INV-051506,POL-374303,Sharia Fund,Medium,2025-01-06,2976315,UD Laksmiwati,1114.56,2315.4213
INV-457522,POL-802320,Fixed Income Fund,Low-Medium,2024-05-25,4724938,CV Kusumo Halimah Tbk,1185.27,4491.9256
INV-148159,POL-082217,Sharia Fund,Medium,2025-06-11,5510864,PD Yuliarti Mangunsong Tbk,1359.49,3821.4174
INV-202905,POL-195704,Sharia Fund,Medium,2025-04-10,1171629,UD Anggriawan,1445.39,1016.1425
INV-709484,POL-260377,Fixed Income Fund,Low-Medium,2025-01-13,4029474,Perum Haryanti (Persero) Tbk,1318.26,2974.0015
INV-903408,POL-555737,Balanced Fund,Medium,2024-06-20,5613910,PT Saragih,1274.3,5539.7828
INV-071020,POL-398438,Money Market Fund,Low,2025-04-16,252854,PD Pangestu,1408.91,188.7373
INV-255323,POL-222868,Sharia Fund,Medium,2025-06-10,5197687,CV Natsir Tbk,1420.24,4260.5325
INV-192823,POL-764811,Fixed Income Fund,Low-Medium,2025-06-22,4107253,PT Hardiansyah (Persero) Tbk,1387.28,3371.719
INV-906902,POL-651220,Sharia Fund,Medium,2024-07-24,764096,UD Utami,1298.95,591.2792
INV-522565,POL-294881,Money Market Fund,Low,2025-03-16,6793601,Perum Wibowo Haryanti,1463.5,6073.7312
INV-101731,POL-819012,Fixed Income Fund,Low-Medium,2025-03-30,2768543,UD Wulandari (Persero) Tbk,1198.59,2527.0276
INV-793811,POL-009511,Equity Fund,High,2024-11-07,7683931,PD Maheswara Lailasari,1203.41,5734.0284
INV-789111,POL-694250,Fixed Income Fund,Low-Medium,2024-05-12,3235864,PT Usamah (Persero) Tbk,1022.44,2263.8589
INV-688939,POL-342691,Sharia Fund,Medium,2024-04-23,1093608,PD Mayasari (Persero) Tbk,1082.68,1064.3971
INV-850533,POL-771448,Fixed Income Fund,Low-Medium,2024-12-01,1213749,CV Maheswara Tbk,1200.35,1021.9888
INV-348286,POL-820209,Equity Fund,High,2023-07-09,2392020,PD Prasasta Susanti Tbk,1396.04,1761.6652
INV-681529,POL-336308,Fixed Income Fund,Low-Medium,2025-07-07,3730560,PT Januar Irawan Tbk,1481.04,3045.6375
INV-190769,POL-437903,Money Market Fund,Low,2023-09-13,9737705,UD Mansur Uwais,1489.9,7622.8229
INV-735172,POL-043998,Equity Fund,High,2025-03-02,3063106,Perum Hidayanto Simanjuntak,1293.64,2547.3032
INV-828877,POL-198369,Balanced Fund,Medium,2025-04-29,1097273,Perum Mandasari,1282.25,931.9877
INV-440364,POL-653141,Sharia Fund,Medium,2024-12-29,4420160,PD Pradipta Mardhiyah,1407.6,3850.7173
INV-640846,POL-209241,Money Market Fund,Low,2025-04-19,2139983,UD Hutagalung Iswahyudi,1106.05,2125.7054
INV-923376,POL-307404,Sharia Fund,Medium,2024-02-27,4955795,CV Ramadan (Persero) Tbk,1370.71,3705.1802
INV-689141,POL-499420,Balanced Fund,Medium,2025-01-17,1247876,Perum Thamrin Lazuardi (Persero) Tbk,1220.33,943.2152
INV-205376,POL-467304,Balanced Fund,Medium,2024-08-23,9084379,PT Samosir,1114.65,7612.1477
INV-747643,POL-415216,Balanced Fund,Medium,2025-06-21,4043038,UD Suartini,1376.69,2828.3145
INV-855157,POL-934352,Equity Fund,High,2025-06-30,10314866,CV Gunarto Anggriawan Tbk,1426.08,7632.1917
INV-074695,POL-732395,Balanced Fund,Medium,2024-04-14,1263472,CV Wulandari,1379.44,1166.814
INV-644134,POL-589751,Fixed Income Fund,Low-Medium,2024-05-29,3464188,CV Waskita (Persero) Tbk,1295.77,2864.2715
INV-044135,POL-986495,Sharia Fund,Medium,2025-05-25,532736,PT Hariyah,1437.13,423.8129
INV-547607,POL-693174,Money Market Fund,Low,2025-06-28,2729253,CV Safitri,1071.1,2023.4575
INV-597931,POL-919491,Money Market Fund,Low,2025-06-29,398406,CV Halim,1305.64,290.6267
INV-622736,POL-469128,Equity Fund,High,2025-03-30,679726,CV Nurdiyanti,1157.61,543.815
INV-102181,POL-481491,Money Market Fund,Low,2024-08-23,2764422,UD Pradana Laksita Tbk,1341.71,1969.1256
INV-926572,POL-821057,Sharia Fund,Medium,2023-12-11,3559929,PT Mulyani,1445.05,2666.8223
INV-519058,POL-450804,Sharia Fund,Medium,2024-12-02,2543691,PT Agustina Napitupulu Tbk,1310.1,2174.9301
INV-486600,POL-291800,Equity Fund,High,2025-06-17,2867075,Perum Najmudin (Persero) Tbk,1066.48,2113.8912
INV-179117,POL-392293,Fixed Income Fund,Low-Medium,2024-10-21,110509,PD Hassanah Wibisono (Persero) Tbk,1263.11,75.0887
INV-959270,POL-132370,Balanced Fund,Medium,2023-11-03,7298887,UD Hutasoit,1459.42,6073.8663
INV-189386,POL-340838,Money Market Fund,Low,2025-01-21,2736156,CV Wulandari,1486.35,1970.1517
INV-977627,POL-370997,Equity Fund,High,2025-02-28,1928069,PT Prastuti,1249.43,1753.3689
INV-808650,POL-407437,Fixed Income Fund,Low-Medium,2024-09-11,4860563,UD Lestari Latupono Tbk,1471.17,4681.2076
INV-479002,POL-994510,Balanced Fund,Medium,2025-05-07,2788151,PD Hastuti (Persero) Tbk,1020.26,2284.2809
INV-209467,POL-331997,Balanced Fund,Medium,2023-12-11,3144991,PD Agustina (Persero) Tbk,1401.46,2517.1098
INV-725104,POL-958934,Sharia Fund,Medium,2025-05-21,3334407,UD Usamah,1335.04,2602.5817
INV-019187,POL-940795,Balanced Fund,Medium,2025-07-02,3411691,Perum Riyanti,1322.28,2510.9007
INV-983185,POL-075973,Equity Fund,High,2025-02-28,1767900,UD Budiman Hassanah Tbk,1158.37,1385.7891
INV-345798,POL-164815,Balanced Fund,Medium,2025-06-22,512653,PD Kuswoyo (Persero) Tbk,1325.36,350.2364
INV-897423,POL-343286,Sharia Fund,Medium,2025-04-10,4646911,Perum Hardiansyah Mahendra (Persero) Tbk,1490.81,4347.8836
INV-304739,POL-445228,Balanced Fund,Medium,2025-05-26,863336,Perum Susanti Tbk,1358.11,708.7863
INV-784247,POL-256307,Money Market Fund,Low,2025-05-03,296013,PD Maulana (Persero) Tbk,1312.91,215.2286
INV-988880,POL-603837,Equity Fund,High,2025-02-19,2482425,PD Anggriawan Agustina,1237.18,2083.6717
INV-014879,POL-618019,Equity Fund,High,2023-12-28,2989958,PD Prakasa Waskita,1215.57,2378.8418
INV-857741,POL-759141,Equity Fund,High,2025-05-29,3641861,CV Mangunsong,1391.82,3354.2721
INV-709632,POL-319586,Sharia Fund,Medium,2025-05-20,3094228,CV Sirait Damanik (Persero) Tbk,1330.86,2107.5107
INV-007724,POL-862335,Balanced Fund,Medium,2024-03-25,3316785,UD Santoso,1296.77,2893.3466
INV-488304,POL-030987,Equity Fund,High,2024-09-24,4430817,Perum Pertiwi Sihombing,1064.35,3082.1973
INV-195655,POL-961620,Equity Fund,High,2025-06-22,3021361,CV Purnawati Uwais Tbk,1092.42,2073.2832
INV-417487,POL-404701,Fixed Income Fund,Low-Medium,2024-10-17,1400365,CV Hastuti,1024.17,1344.3314
INV-926474,POL-592176,Sharia Fund,Medium,2025-07-04,1192015,PT Susanti,1211.16,1019.3956
INV-243114,POL-149215,Equity Fund,High,2023-07-30,12238927,UD Widodo,1314.09,10192.9211
INV-963827,POL-954176,Fixed Income Fund,Low-Medium,2024-01-09,5274097,PT Maryati,1443.87,4138.3948
INV-866145,POL-164867,Sharia Fund,Medium,2025-02-02,2646314,CV Wahyuni Tbk,1195.77,2036.9286
INV-814991,POL-193102,Balanced Fund,Medium,2025-01-24,10777881,CV Nababan Napitupulu,1456.17,7856.2618
INV-824174,POL-452868,Balanced Fund,Medium,2024-03-22,522862,UD Wibisono Anggriawan,1394.87,412.5264
INV-972854,POL-969258,Fixed Income Fund,Low-Medium,2025-03-31,1978171,Perum Prabowo Mustofa,1463.66,1629.3697
INV-992025,POL-790564,Money Market Fund,Low,2025-01-13,3467892,UD Kuswoyo,1070.91,3054.0722
INV-310393,POL-733678,Balanced Fund,Medium,2025-06-07,530346,Perum Lestari Pratiwi Tbk,1043.31,360.9922
INV-803216,POL-485523,Equity Fund,High,2024-05-26,259713,Perum Nababan Hasanah (Persero) Tbk,1294.99,199.0151
INV-148533,POL-334662,Equity Fund,High,2024-10-30,5344618,Perum Nugroho (Persero) Tbk,1108.67,3923.6607
INV-109334,POL-844747,Sharia Fund,Medium,2023-01-28,2438415,UD Simanjuntak Novitasari (Persero) Tbk,1198.9,2035.0334
INV-816002,POL-334098,Equity Fund,High,2023-11-18,1773213,Perum Saputra Pranowo (Persero) Tbk,1357.92,1222.8662
INV-278560,POL-385805,Equity Fund,High,2025-02-24,2227503,CV Yolanda,1319.61,1930.2993
INV-194902,POL-753900,Equity Fund,High,2025-06-22,5873433,PT Nasyiah Pradipta,1371.55,5654.4814
INV-724528,POL-493032,Sharia Fund,Medium,2024-04-30,6404165,CV Lailasari Winarsih Tbk,1305.12,5322.3001
INV-317185,POL-172781,Sharia Fund,Medium,2024-10-13,4721541,CV Andriani Tbk,1068.91,4001.7829
INV-209649,POL-616073,Fixed Income Fund,Low-Medium,2023-10-31,2602597,UD Wibisono Wahyuni,1015.64,2528.0708
INV-662527,POL-360951,Fixed Income Fund,Low-Medium,2023-11-22,5065295,CV Suwarno Mardhiyah,1424.68,4984.584
INV-278186,POL-808484,Equity Fund,High,2023-07-19,807838,PD Tamba Hardiansyah,1254.6,626.1596
INV-508203,POL-741164,Sharia Fund,Medium,2024-03-11,1233368,UD Wahyuni,1452.63,978.7356
INV-344180,POL-723040,Money Market Fund,Low,2023-09-07,4328409,UD Hidayat,1348.82,4189.3689
INV-392540,POL-063073,Money Market Fund,Low,2024-09-22,7105815,Perum Thamrin Sinaga,1109.83,5022.9403
INV-983539,POL-525996,Fixed Income Fund,Low-Medium,2025-06-28,3970496,PD Pradana Tbk,1147.12,3437.104
INV-421745,POL-364659,Equity Fund,High,2025-06-10,606783,CV Padmasari (Persero) Tbk,1230.37,418.2087
INV-616157,POL-404634,Balanced Fund,Medium,2023-03-04,375414,UD Firgantoro Tbk,1355.72,293.8084
INV-758574,POL-255496,Equity Fund,High,2024-08-10,4231523,CV Wahyuni Simbolon,1374.0,3620.6587
INV-337899,POL-706884,Money Market Fund,Low,2024-10-10,2179440,Perum Ramadan (Persero) Tbk,1270.87,1459.7688
INV-356059,POL-194211,Fixed Income Fund,Low-Medium,2025-07-03,1969009,PT Damanik Pangestu,1217.82,1321.6315
INV-583671,POL-165691,Balanced Fund,Medium,2025-06-01,688637,UD Mangunsong Mangunsong,1235.95,651.7522
INV-302457,POL-667897,Sharia Fund,Medium,2023-01-03,3079592,UD Pradipta Widodo Tbk,1074.99,2253.5945
INV-879826,POL-211858,Fixed Income Fund,Low-Medium,2024-08-02,990009,PT Waskita Putra Tbk,1136.04,937.2055
INV-781866,POL-601431,Fixed Income Fund,Low-Medium,2025-05-20,2767608,PT Budiyanto,1301.89,2004.5367
INV-247629,POL-002264,Balanced Fund,Medium,2025-07-01,728455,UD Mardhiyah,1035.28,610.7173
INV-239745,POL-888317,Balanced Fund,Medium,2025-04-26,4602414,UD Hutapea Pangestu,1398.36,3595.7503
INV-390689,POL-109503,Balanced Fund,Medium,2025-04-02,3674975,PT Laksita (Persero) Tbk,1062.21,2966.4402
INV-249132,POL-542896,Sharia Fund,Medium,2025-04-04,4365638,PT Purwanti Gunawan Tbk,1468.55,3016.5081
INV-572872,POL-488412,Balanced Fund,Medium,2024-10-10,2564019,PT Dongoran,1012.26,2421.38
INV-575624,POL-653449,Sharia Fund,Medium,2024-07-12,2150740,Perum Nashiruddin,1433.32,1692.9522
INV-676903,POL-150170,Sharia Fund,Medium,2024-10-18,1038911,PD Wijayanti Prabowo (Persero) Tbk,1465.05,991.182
INV-435106,POL-161930,Fixed Income Fund,Low-Medium,2024-08-18,5700441,CV Mansur Prasasta Tbk,1085.85,4055.086
INV-412471,POL-011935,Equity Fund,High,2024-11-30,4329247,CV Yolanda Hutasoit Tbk,1351.53,3446.0869
INV-866532,POL-399123,Balanced Fund,Medium,2024-02-12,3598084,PD Sitompul (Persero) Tbk,1342.32,2807.0969
INV-205010,POL-170548,Money Market Fund,Low,2025-07-07,2940957,Perum Gunarto Sitorus,1105.57,2067.2164
INV-031974,POL-224189,Fixed Income Fund,Low-Medium,2024-11-02,10006863,UD Tamba,1160.62,8532.1473
INV-763209,POL-356339,Sharia Fund,Medium,2024-05-31,564438,UD Haryanto Pranowo,1164.81,381.6626
INV-179625,POL-134722,Sharia Fund,Medium,2025-05-30,2952490,Perum Iswahyudi Kusmawati (Persero) Tbk,1064.84,2773.1529
INV-020437,POL-775551,Money Market Fund,Low,2023-10-17,8275606,UD Santoso Maryati,1124.06,5704.8569
INV-974334,POL-718493,Balanced Fund,Medium,2024-11-25,3477837,Perum Nasyiah Rahimah (Persero) Tbk,1382.97,2978.3422
INV-937248,POL-418932,Balanced Fund,Medium,2025-06-14,2609145,UD Prasasta,1470.27,1846.7137
INV-844602,POL-278762,Balanced Fund,Medium,2023-03-07,6204542,UD Nasyidah Simanjuntak (Persero) Tbk,1175.82,5001.1369
INV-475243,POL-722435,Money Market Fund,Low,2025-04-19,4758760,CV Maryati,1377.8,3272.4721
INV-837239,POL-411800,Equity Fund,High,2025-02-10,3776453,PD Zulkarnain Prayoga,1180.63,3711.9888
INV-365744,POL-226622,Balanced Fund,Medium,2024-10-22,2305142,UD Manullang Nuraini,1378.69,2195.9095
INV-850360,POL-375047,Fixed Income Fund,Low-Medium,2025-03-31,6119176,PT Hutasoit Prasetyo (Persero) Tbk,1387.33,4406.5886
INV-704476,POL-289954,Sharia Fund,Medium,2025-02-08,5362282,PT Anggriawan,1117.68,4224.827
INV-049268,POL-860212,Equity Fund,High,2025-04-26,6798331,PD Rahayu,1181.4,5421.9873
INV-312587,POL-393765,Sharia Fund,Medium,2025-02-21,3893442,UD Prasetyo,1190.86,3422.8748
INV-296856,POL-234821,Money Market Fund,Low,2024-02-04,625589,UD Suryatmi Tbk,1227.16,620.836
INV-369971,POL-386565,Fixed Income Fund,Low-Medium,2023-12-19,1494090,Perum Putra Tbk,1229.14,1061.9836
INV-935756,POL-586785,Balanced Fund,Medium,2024-03-09,4201844,PD Mandala Sihotang,1340.68,3704.4621
INV-447690,POL-718173,Fixed Income Fund,Low-Medium,2024-07-06,1166975,Perum Fujiati (Persero) Tbk,1362.68,976.4254
INV-396013,POL-509425,Sharia Fund,Medium,2024-09-04,2050850,Perum Utama Tbk,1094.56,1483.729
INV-109452,POL-519679,Money Market Fund,Low,2024-11-01,6401373,PD Hasanah,1058.45,5327.366
INV-455595,POL-357204,Money Market Fund,Low,2023-07-29,395637,PT Rajata,1171.03,339.6207
INV-849869,POL-176141,Equity Fund,High,2023-11-18,3283004,PT Maryadi Tbk,1483.55,3270.9204
INV-008901,POL-259317,Money Market Fund,Low,2024-12-01,3168122,Perum Safitri Pradana Tbk,1494.67,2826.4883
INV-287716,POL-076073,Balanced Fund,Medium,2024-01-27,734202,PD Wastuti (Persero) Tbk,1173.9,728.4933
INV-942006,POL-487000,Fixed Income Fund,Low-Medium,2024-04-14,3857195,PD Haryanti,1312.27,2731.2519
INV-600986,POL-380589,Fixed Income Fund,Low-Medium,2023-01-12,10403642,CV Yuniar Prasetyo (Persero) Tbk,1056.19,7092.1672
INV-075738,POL-287054,Balanced Fund,Medium,2025-05-07,9193255,PD Susanti (Persero) Tbk,1348.46,6710.1743
INV-747846,POL-194242,Fixed Income Fund,Low-Medium,2024-11-10,10267380,PT Pradana Nasyiah,1015.82,8640.8756
INV-541103,POL-053282,Money Market Fund,Low,2025-05-17,1341445,UD Budiman (Persero) Tbk,1429.78,1117.2057
INV-907710,POL-769090,Equity Fund,High,2025-02-02,1534712,UD Agustina (Persero) Tbk,1101.0,1053.297
INV-839230,POL-979178,Balanced Fund,Medium,2024-09-25,3457178,PT Ardianto,1159.93,3174.3838
INV-310835,POL-206116,Fixed Income Fund,Low-Medium,2025-03-21,4825355,PD Maheswara,1279.14,4168.4104
INV-035520,POL-553616,Balanced Fund,Medium,2024-11-28,6437964,CV Siregar Wacana Tbk,1253.13,5278.1805
INV-128155,POL-708172,Money Market Fund,Low,2024-10-30,2659801,PT Hassanah Wibisono Tbk,1115.0,1996.2625
INV-835169,POL-398520,Money Market Fund,Low,2024-09-26,4620426,PT Mulyani Tbk,1383.73,3632.7608
INV-248337,POL-736704,Fixed Income Fund,Low-Medium,2025-04-22,2553947,UD Pangestu Sitompul,1376.67,1703.9645
INV-111940,POL-487486,Balanced Fund,Medium,2023-10-10,7126507,PT Oktaviani,1035.18,5377.114
INV-704398,POL-449682,Equity Fund,High,2024-05-24,1212561,UD Saputra Prayoga Tbk,1163.27,835.788
INV-373540,POL-971378,Fixed Income Fund,Low-Medium,2024-02-06,4721614,Perum Wulandari Tbk,1231.26,3769.111
INV-759137,POL-537000,Money Market Fund,Low,2024-11-15,2078315,PD Mardhiyah Siregar,1422.91,1541.7582
INV-624616,POL-198315,Fixed Income Fund,Low-Medium,2024-05-15,886068,PT Kuswandari Tbk,1267.05,637.348
INV-401236,POL-359981,Balanced Fund,Medium,2024-01-03,1379308,PD Natsir (Persero) Tbk,1464.2,1093.9257
INV-048262,POL-568413,Equity Fund,High,2025-01-08,1459760,PT Lestari Winarsih (Persero) Tbk,1229.2,1100.42
INV-703744,POL-822712,Balanced Fund,Medium,2024-08-15,5234051,CV Kusmawati Suwarno,1017.45,4590.4892
INV-482922,POL-676381,Money Market Fund,Low,2025-04-27,1910410,PD Suryatmi,1002.83,1882.0414
INV-241236,POL-530175,Equity Fund,High,2025-05-03,3260122,UD Najmudin Aryani,1220.22,2975.3487
INV-254219,POL-487618,Money Market Fund,Low,2025-06-09,3457405,CV Hasanah Ardianto Tbk,1252.88,3396.429
INV-987675,POL-899571,Fixed Income Fund,Low-Medium,2025-03-12,4433168,UD Yuliarti Adriansyah Tbk,1028.88,3217.8741
INV-633834,POL-558060,Money Market Fund,Low,2024-10-21,2003615,Perum Prasasta,1305.1,1361.9684
INV-439953,POL-807982,Equity Fund,High,2024-07-12,3855353,PD Rahmawati Pudjiastuti (Persero) Tbk,1043.15,2776.2226
INV-707980,POL-296362,Money Market Fund,Low,2025-03-03,1274311,UD Laksita,1070.37,921.4812
INV-550126,POL-442776,Fixed Income Fund,Low-Medium,2025-05-14,1554240,Perum Farida,1094.88,1346.1853
INV-275157,POL-200362,Fixed Income Fund,Low-Medium,2025-02-07,347060,PD Prasetya Nainggolan Tbk,1386.93,248.4412
INV-091794,POL-821023,Sharia Fund,Medium,2024-10-17,4254113,PT Simbolon Prabowo Tbk,1498.73,2982.4841
INV-168086,POL-190849,Fixed Income Fund,Low-Medium,2025-01-24,114495,CV Sitorus Mandala Tbk,1053.04,82.8395
INV-975307,POL-086355,Fixed Income Fund,Low-Medium,2025-06-28,1868579,PT Suartini (Persero) Tbk,1051.62,1401.7421
INV-515308,POL-683070,Balanced Fund,Medium,2024-07-23,1739678,Perum Puspita Mangunsong Tbk,1317.38,1651.8101
INV-262447,POL-311932,Fixed Income Fund,Low-Medium,2025-06-28,8950330,PD Anggriawan,1041.97,6406.9124
INV-744407,POL-987090,Balanced Fund,Medium,2023-09-03,4209587,UD Lazuardi Prasetya Tbk,1420.88,3888.267
INV-688765,POL-104539,Money Market Fund,Low,2025-01-02,3394670,UD Kuswoyo,1342.36,3296.7373
INV-985292,POL-834608,Equity Fund,High,2024-09-26,1361861,UD Budiyanto Tbk,1454.22,1165.6687
INV-778439,POL-969070,Equity Fund,High,2025-03-15,3220176,CV Yuniar Tbk,1188.2,2375.523
INV-994471,POL-734838,Fixed Income Fund,Low-Medium,2024-02-22,2892870,Perum Yulianti,1347.7,2468.8089
INV-331616,POL-529055,Fixed Income Fund,Low-Medium,2024-10-24,3937274,PT Usada Setiawan Tbk,1083.44,3173.567
INV-573270,POL-752538,Money Market Fund,Low,2024-02-17,1573190,CV Wasita Dongoran,1143.55,1226.8086
INV-198601,POL-981784,Equity Fund,High,2025-04-17,4931629,Perum Mandasari Najmudin,1214.31,4679.9741
INV-849858,POL-562266,Fixed Income Fund,Low-Medium,2025-03-04,1056756,Perum Saputra Sinaga (Persero) Tbk,1311.1,737.144
INV-812577,POL-440396,Equity Fund,High,2023-09-04,3766514,UD Kusmawati Zulkarnain,1212.81,2973.912
INV-680057,POL-221393,Balanced Fund,Medium,2024-04-22,925163,Perum Rahmawati Laksita Tbk,1188.69,798.4221
INV-183190,POL-342096,Equity Fund,High,2025-06-16,2324189,UD Hutagalung,1348.02,2281.4353
INV-225516,POL-602198,Money Market Fund,Low,2023-11-25,1322863,UD Purwanti Haryanto Tbk,1484.32,883.7589
INV-823448,POL-856449,Equity Fund,High,2024-08-13,865294,CV Wahyudin,1056.75,731.8216
INV-649435,POL-462596,Equity Fund,High,2023-03-27,5645942,Perum Lazuardi Sinaga (Persero) Tbk,1370.04,4653.0765
INV-398797,POL-993061,Sharia Fund,Medium,2024-12-17,2826402,CV Mustofa Ardianto (Persero) Tbk,1310.7,2169.9421
INV-909754,POL-927057,Money Market Fund,Low,2024-06-16,2552804,PT Permadi (Persero) Tbk,1481.96,2194.8336
INV-062210,POL-392916,Fixed Income Fund,Low-Medium,2025-02-07,3202084,PD Kusmawati,1142.58,2451.2995
INV-968025,POL-419889,Balanced Fund,Medium,2025-04-03,1786251,UD Narpati (Persero) Tbk,1291.23,1337.1812
INV-337490,POL-594260,Equity Fund,High,2025-03-25,4865948,PT Mansur Padmasari,1260.13,4846.8084
INV-245062,POL-781776,Money Market Fund,Low,2025-06-16,3569281,Perum Melani Maryati,1411.86,2882.3299
INV-166981,POL-869394,Balanced Fund,Medium,2023-06-03,178408,UD Prabowo Kusmawati (Persero) Tbk,1219.51,170.658
INV-217327,POL-486611,Balanced Fund,Medium,2024-11-12,3440046,Perum Wahyudin Namaga Tbk,1088.59,2940.4012
INV-963593,POL-756116,Balanced Fund,Medium,2023-10-14,6891074,PT Aryani Tbk,1287.08,4656.4377
INV-236836,POL-950417,Balanced Fund,Medium,2025-02-21,6587332,PT Hastuti Tbk,1429.47,5043.7978
INV-690351,POL-470942,Balanced Fund,Medium,2025-01-19,3095150,UD Waluyo Zulkarnain (Persero) Tbk,1013.79,2882.9636
INV-635551,POL-912433,Fixed Income Fund,Low-Medium,2024-10-24,4143597,UD Suryono (Persero) Tbk,1119.75,2789.5462
INV-560358,POL-663707,Sharia Fund,Medium,2023-11-08,9403919,CV Rahimah,1235.17,7311.0593
INV-380120,POL-211452,Balanced Fund,Medium,2025-06-09,8496565,CV Laksita Mulyani,1072.04,7961.4921
INV-442008,POL-908873,Equity Fund,High,2024-02-10,3351345,UD Pangestu Najmudin,1289.3,2928.7969
INV-830930,POL-174582,Money Market Fund,Low,2025-07-01,696563,PT Nuraini,1330.38,613.785
INV-730477,POL-390501,Money Market Fund,Low,2024-03-22,2847172,CV Hardiansyah Mandasari,1430.98,1964.3989
INV-610347,POL-208012,Fixed Income Fund,Low-Medium,2025-01-09,1798912,Perum Yolanda,1336.7,1740.8122
INV-842517,POL-820180,Sharia Fund,Medium,2025-04-28,2378692,Perum Pratiwi Zulaika,1290.14,2018.9292
INV-270886,POL-799454,Sharia Fund,Medium,2023-11-13,3785550,PT Adriansyah Tbk,1060.6,2697.5946
INV-464747,POL-687500,Sharia Fund,Medium,2025-06-16,1201621,CV Safitri (Persero) Tbk,1460.88,942.3229
INV-393233,POL-362910,Sharia Fund,Medium,2024-11-26,3388609,UD Widodo Safitri (Persero) Tbk,1362.26,3067.9479
INV-920010,POL-753606,Money Market Fund,Low,2025-06-06,2488606,Perum Firmansyah (Persero) Tbk,1222.9,2281.2089
INV-264598,POL-824694,Sharia Fund,Medium,2025-06-05,2971400,Perum Hakim,1046.03,2643.797
INV-780798,POL-950891,Balanced Fund,Medium,2023-08-08,3169705,PD Puspasari Tbk,1146.79,3107.012
INV-965201,POL-166207,Fixed Income Fund,Low-Medium,2024-09-20,4464989,PT Rahmawati Hidayanto Tbk,1467.88,3586.8763
INV-746743,POL-591399,Fixed Income Fund,Low-Medium,2025-02-08,1723242,PT Yolanda Tbk,1435.72,1384.3237
INV-366366,POL-072831,Fixed Income Fund,Low-Medium,2024-08-18,2590943,PT Firgantoro Sirait Tbk,1437.23,1877.2187
INV-304636,POL-951253,Equity Fund,High,2024-11-19,2526958,CV Nasyiah Situmorang,1311.52,1886.0713
INV-924075,POL-593040,Money Market Fund,Low,2024-04-19,3928433,UD Nugroho,1497.69,3579.3928
INV-405222,POL-340420,Equity Fund,High,2025-05-25,4405731,CV Budiyanto Winarsih (Persero) Tbk,1323.2,2954.7741
INV-043568,POL-939249,Equity Fund,High,2023-01-28,4684974,CV Wahyuni (Persero) Tbk,1242.44,3228.8893
INV-870433,POL-598523,Equity Fund,High,2025-05-18,1340533,PT Hardiansyah,1267.85,938.1744
INV-940550,POL-108714,Balanced Fund,Medium,2024-08-19,4745074,PT Narpati (Persero) Tbk,1205.53,3528.8047
INV-979471,POL-956042,Equity Fund,High,2023-05-31,1288957,PD Pertiwi (Persero) Tbk,1190.68,889.4016
